COUN_ID,COUN_NA,TOWN_ID,TOWN_NA,CODE3,96年,97年,98年,99年
10002,宜蘭縣,1000204,頭城鎮,A100020401,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020402,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020403,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020404,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020407,2110,2112,1827,1945
10002,宜蘭縣,1000204,頭城鎮,A100020406,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020405,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020408,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020409,0,0,0,0
10002,宜蘭縣,1000204,頭城鎮,A100020411,188,204,354,541
10002,宜蘭縣,1000204,頭城鎮,A100020410,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020501,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020506,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020503,150,92,173,0
10002,宜蘭縣,1000204,頭城鎮,A100020412,25,23,14,30
10002,宜蘭縣,1000204,頭城鎮,A100020413,260,178,127,112
10002,宜蘭縣,1000204,頭城鎮,A100020414,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020502,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020511,30575,33231,19413,25113
10002,宜蘭縣,1000205,礁溪鄉,A100020508,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020505,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020504,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020507,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020509,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020512,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020510,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020513,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020514,74,63,50,54
10002,宜蘭縣,1000206,壯圍鄉,A100020601,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020602,0,91,0,0
10002,宜蘭縣,1000207,員山鄉,A100020701,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020515,0,0,0,0
10002,宜蘭縣,1000205,礁溪鄉,A100020516,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020708,921,542,480,450
10002,宜蘭縣,1000201,宜蘭市,A100020102,4988,2593,3198,3018
10002,宜蘭縣,1000201,宜蘭市,A100020103,434,356,439,582
10002,宜蘭縣,1000201,宜蘭市,A100020101,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020603,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020604,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020104,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020702,34,40,30,0
10002,宜蘭縣,1000201,宜蘭市,A100020105,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020703,0,0,77,73
10002,宜蘭縣,1000201,宜蘭市,A100020111,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020605,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020106,0,0,7,4
10002,宜蘭縣,1000206,壯圍鄉,A100020607,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020107,0,30,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020114,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020108,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020109,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020608,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020110,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020115,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020113,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020116,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020112,4,4,3,2
10002,宜蘭縣,1000201,宜蘭市,A100020119,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020118,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020117,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020706,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020123,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020120,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020121,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020122,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020124,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020125,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020704,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020126,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020606,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020132,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020705,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020128,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020129,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020609,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020127,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020130,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020131,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020707,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020133,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020137,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020710,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020135,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020709,85,109,80,0
10002,宜蘭縣,1000201,宜蘭市,A100020134,0,0,0,0
10002,宜蘭縣,1000201,宜蘭市,A100020136,0,0,0,0
10002,宜蘭縣,1000206,壯圍鄉,A100020610,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020711,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020712,1146,1273,1161,1467
10002,宜蘭縣,1000201,宜蘭市,A100020138,0,0,0,0
10002,宜蘭縣,1000207,員山鄉,A100020713,0,256,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020201,379,485,463,525
10002,宜蘭縣,1000202,羅東鎮,A100020203,0,0,0,0
10002,宜蘭縣,1000208,冬山鄉,A100020801,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020202,0,0,0,0
10002,宜蘭縣,1000208,冬山鄉,A100020803,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020204,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020205,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020206,61,66,58,63
10002,宜蘭縣,1000208,冬山鄉,A100020802,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020211,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020207,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020209,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020208,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020210,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020216,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020223,164,205,178,221
10002,宜蘭縣,1000202,羅東鎮,A100020213,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020217,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020212,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020214,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020215,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020218,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020220,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020221,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020219,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020222,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020224,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020229,41,38,34,34
10002,宜蘭縣,1000202,羅東鎮,A100020225,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020226,0,0,0,0
10002,宜蘭縣,1000202,羅東鎮,A100020228,0,0,0,0
10002,宜蘭縣,1000208,冬山鄉,A100020807,0,0,0,0
10002,宜蘭縣,1000208,冬山鄉,A100020804,0,0,0,0
