COUN_NAME,TOWN_NAME,COUNT
嘉義縣,太保市,252828
嘉義縣,太保市,508368
嘉義縣,太保市,589908
嘉義縣,太保市,555063
嘉義縣,太保市,458578
嘉義縣,太保市,418391
嘉義縣,太保市,539343
嘉義縣,太保市,477355
嘉義縣,太保市,468540
嘉義縣,太保市,374144
嘉義縣,太保市,884057
嘉義縣,太保市,547682
嘉義縣,朴子市,316221
嘉義縣,朴子市,235102
嘉義縣,朴子市,307607
嘉義縣,朴子市,647508
嘉義縣,朴子市,330358
嘉義縣,朴子市,639769
嘉義縣,朴子市,554145
嘉義縣,朴子市,378211
嘉義縣,朴子市,596098
嘉義縣,朴子市,375790
嘉義縣,朴子市,333162
嘉義縣,朴子市,413257
嘉義縣,朴子市,396170
嘉義縣,朴子市,684286
嘉義縣,朴子市,313850
嘉義縣,布袋鎮,219710
嘉義縣,布袋鎮,342685
嘉義縣,布袋鎮,511829
嘉義縣,布袋鎮,475778
嘉義縣,布袋鎮,230923
嘉義縣,布袋鎮,334812
嘉義縣,布袋鎮,384560
嘉義縣,布袋鎮,343745
嘉義縣,布袋鎮,387571
嘉義縣,布袋鎮,55633
嘉義縣,布袋鎮,541186
嘉義縣,布袋鎮,233871
嘉義縣,大林鎮,55273
嘉義縣,大林鎮,310906
嘉義縣,大林鎮,360405
嘉義縣,大林鎮,410763
嘉義縣,大林鎮,629778
嘉義縣,大林鎮,377439
嘉義縣,大林鎮,406125
嘉義縣,大林鎮,450822
嘉義縣,大林鎮,383055
嘉義縣,大林鎮,744094
嘉義縣,大林鎮,345109
嘉義縣,大林鎮,449713
嘉義縣,民雄鄉,493684
嘉義縣,民雄鄉,445275
嘉義縣,民雄鄉,1340009
嘉義縣,民雄鄉,647382
嘉義縣,民雄鄉,659200
嘉義縣,民雄鄉,569282
嘉義縣,民雄鄉,552291
嘉義縣,民雄鄉,484414
嘉義縣,民雄鄉,561154
嘉義縣,民雄鄉,458723
嘉義縣,民雄鄉,372849
嘉義縣,民雄鄉,768577
嘉義縣,民雄鄉,379608
嘉義縣,民雄鄉,626164
