Region,County,Town,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,Factory_cnt_102,Factory_cnt_103,Factory_cnt_104,Factory_employee_102,Factory_employee_103,Factory_employee_104,Factory_to_102,Factory_to_103,Factory_to_104,To_employee_102,To_employee_103,To_employee_104,To_factory_102,To_factory_103,To_factory_104,
A100100101,嘉義縣,太保市,281835.15,282031.10,291420.89,262923.28,314153.42,342443.90,366705.31,373722.47,324553.90,307809.99,194008.16,95710.85,254733.4525,237149.9231,288274.2229,272722.8178,326493.5367,358215.7526,342854.8073,305450.18,282700.6263,275819.7619,249985.971,255364.0651,252926.78,245228.29,273962.68,269448.02,317852.49,347042.25,337069.22,320842.34,292330.65,286700.89,258501.59,246203.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100102,嘉義縣,太保市,519129.25,473969.63,519787.87,533344.03,612681.11,671404.91,743277.48,702642.15,627285.81,567658.07,450341.25,309427.73,528235.3786,446990.4442,533969.0044,527747.2572,620138.342,711980.3957,778057.2169,680808.7272,611554.6551,577453.5661,508454.0346,554806.4628,524488.92,462216.90,507459.80,521410.18,603725.63,689772.23,764927.70,715115.85,632386.89,600234.19,525774.21,534904.26,5,4,4,50,40,40,88,96,70,1759,2392,1749,17.6,23.9,17.5,
A100100103,嘉義縣,太保市,908857.88,812519.28,937287.16,981176.29,1120907.29,1218551.35,1366937.18,1313712.19,1203514.79,1150269.02,962416.28,552853.13,619997.0192,514581.7769,611636.6082,607062.2953,698990.4381,800739.8394,888816.5219,775132.8142,696605.123,665801.8057,584845.593,644554.5979,615599.75,532110.69,581271.55,599772.82,680490.81,775763.08,873817.97,814193.09,720334.55,692067.78,604768.00,621432.92,75,73,76,2487,2511,2508,9854,9985,9647,3962,3977,3847,131.4,136.8,126.9,
A100100104,嘉義縣,太保市,650775.79,597719.23,672783.57,674986.79,794152.42,856816.41,931527.82,919279.48,807650.52,756312.83,533175.20,285300.36,559646.6299,484814.6266,588856.8223,582030.5596,704319.8782,811927.6404,817930.061,728193.5352,654142.5254,623273.3108,564407.0011,603826.2365,555677.39,501329.54,559622.68,575041.66,685679.20,786601.91,804127.70,764888.46,676425.49,647861.53,583633.18,582165.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100105,嘉義縣,太保市,661678.92,592290.76,661807.80,653371.21,715240.11,801459.57,864144.09,835527.41,763793.46,726509.05,626720.76,276690.91,470606.9344,410344.1382,518644.1321,509573.0451,582513.6078,650997.2532,723029.488,603301.89,558357.9484,504331.1555,456973.4879,475932.8316,467269.20,424322.26,492895.74,503454.20,567096.68,630691.28,710828.55,633703.31,577378.07,524227.09,472540.01,458860.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100106,嘉義縣,太保市,515650.89,475308.65,528331.63,519574.00,552638.09,639865.27,690910.99,642458.02,594109.05,543261.02,483963.00,182986.52,415372.6707,384517.6226,510726.4754,502545.9047,578284.6123,612126.5854,680657.4507,533224.4717,480432.7525,431756.9288,394719.9274,422848.7932,412426.68,397615.98,485371.16,496511.44,562979.61,593033.07,669171.53,560094.57,496798.40,448789.80,408165.82,407680.22,6,6,6,135,126,153,453,419,575,3358,3324,3760,75.6,69.8,95.9,
A100100107,嘉義縣,太保市,823593.94,750707.47,835731.88,804612.83,930389.47,985627.17,1056519.66,1074866.83,988208.47,968749.17,697276.00,307959.56,523113.0994,462910.8938,586243.2605,591373.0725,697236.385,779372.6209,763019.2246,687374.2397,636980.6831,606549.5264,558692.6761,579449.5167,519402.97,478679.67,557138.87,584271.99,678783.18,755062.35,750143.47,722012.21,658679.04,630477.99,577724.20,558663.31,54,54,47,1657,1733,1702,16964,18625,17680,10238,10747,10388,314.2,344.9,376.2,
A100100108,嘉義縣,太保市,633389.79,574313.19,623269.09,609427.93,761330.67,835254.17,870353.40,868403.04,778198.88,746245.01,439619.33,164686.20,478315.1945,435748.7458,513459.4032,508632.5518,613890.6184,700514.9751,675681.8792,632459.8883,574489.0135,571385.8677,496691.1501,523935.8312,474922.79,450592.26,487968.41,502525.00,597643.26,678664.44,664279.92,664330.63,594058.63,593927.12,513610.63,505141.03,7,6,0,82,64,0,159,129,0,1938,2016,0,22.7,21.5,0,
A100100109,嘉義縣,太保市,472301.69,426854.66,460283.86,468536.00,542512.86,574594.67,653141.52,625334.96,552555.38,530058.42,268896.93,140588.76,491137.2034,438011.748,519789.7784,519689.5317,632181.5295,657879.02,698734.0589,633134.4938,547865.3329,545825.9019,458014.632,501682.0356,487653.86,452932.35,493984.51,513449.21,615450.08,637358.39,686943.10,665039.23,566528.03,567358.81,473616.62,483685.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100110,嘉義縣,太保市,528147.95,460480.91,527196.45,519340.65,654964.88,716489.12,733447.55,741651.15,665754.32,636189.97,384873.18,182086.79,393597.6535,357520.0194,421411.438,401666.4556,495723.0507,543571.3639,552070.1936,528335.924,451032.3105,439313.9051,378923.9864,398637.622,390806.10,369698.72,400490.22,396843.33,482603.14,526616.23,542754.15,554959.68,466396.45,456644.90,391831.80,384337.56,5,4,4,154,158,168,1146,1248,1181,7439,7898,7030,229.1,312,295.2,
A100100112,嘉義縣,太保市,1170491.35,1065777.36,1186694.32,1190318.18,1465638.64,1549002.06,1665683.40,1639344.17,1396348.45,1340183.51,617005.54,142669.69,870251.062,817173.0407,994689.4933,1025039.325,1244652.639,1338662.612,1280049.977,1242234.145,991402.9457,1093989.607,853864.3439,997491.571,864078.89,845009.54,945307.55,1012730.87,1211711.40,1296906.91,1258449.46,1304832.46,1025174.48,1137147.65,882950.71,961709.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
